title,pagerank,year,group,id
Sergei_Ryabov,26.471877639408177,1977,low,21557061
Vsevolod_Pudovkin,148.87593545577968,1893,high,517852
Alexander_Sokurov,79.59768886531911,1951,medium,2890176
Sergei_Yutkevich,12.323326535895772,1904,low,17267044
Sergey_Mikaelyan,5.923564346090975,1923,low,30864177
Yakov_Protazanov,22.981916040156207,1881,low,2576658
Savva_Kulish,4.250224854203682,1936,low,41983071
Aleksandr_Khvan,10.9800171478237,1957,low,24348128
Olga_Preobrazhenskaya_(director),17.902781288437453,1881,low,24017353
Elem_Klimov,53.00782977356099,1933,medium,2518545
Vladimir_Petrov_(director),5.013010085688854,1896,low,23843740
Sergio_Olhovich,7.765440660054443,1941,low,41371706
Aleksandr_Razumny,60.025064256059856,1891,medium,24093307
Dodo_Abashidze,3.895286718605503,1924,low,22722891
Vladimir_Vajnshtok,6.03735446836978,1908,low,23909632
Alexander_Stefanovich,4.237063557282506,1944,low,17610041
